PassengerId,survived,last,first,middle,m2,m3,m4,m5,m6,,,,,
NA,1,Allen,Elisabeth,Walton,,,,,,,,,,
NA,1,Allison,Hudson,Trevor,,,,,,,,,,
NA,0,Allison,Helen,Loraine,,,,,,,,,,
NA,0,Allison,Hudson,Joshua,Creighton,,,,,,,,,
NA,0,Allison,Hudson,J,C,(Bessie,Waldo,Daniels),Daniels),,,,,
NA,1,Anderson,Harry,,,,,,,,,,,
NA,1,Andrews,Kornelia,Theodosia,,,,,,,,,,
NA,0,Andrews,Thomas,Jr,,,,,,,,,,
NA,1,Appleton,Edward,Dale,(Charlotte,Lamson),,,,,,,,
NA,0,Artagaveytia,Ramon,,,,,,,,,,,
NA,0,Astor,John,Jacob,,,,,,,,,,
NA,1,Astor,John,Jacob,(Madeleine,Talmadge,Force),,,,,,,
NA,1,Aubart,Leontine,Pauline,,,,,,,,,,
NA,1,Barber,Ellen,Nellie,,,,,,,,,,
NA,1,Barkworth,Algernon,Henry,Wilson,,,,,,,,,
NA,0,Baumann,John,D,,,,,,,,,,
NA,0,Baxter,Quigg,Edmond,,,,,,,,,,
NA,1,Baxter,James,(Helene,DeLaudeniere,Chaput),,,,,,,,
NA,1,Bazzani,Albina,,,,,,,,,,,
NA,0,Beattie,Thomson,,,,,,,,,,,
NA,1,Beckwith,Richard,Leonard,,,,,,,,,,
NA,1,Beckwith,Richard,Leonard,(Sallie,Monypeny),,,,,,,,
NA,1,Behr,Karl,Howell,,,,,,,,,,
NA,1,Bidois,Rosalie,,,,,,,,,,,
NA,1,Bird,Ellen,,,,,,,,,,,
NA,0,Birnbaum,Jakob,,,,,,,,,,,
NA,1,Bishop,Dickinson,H,,,,,,,,,,
NA,1,Bishop,Dickinson,H,(Helen,Walton),,,,,,,,
NA,1,Bissette,Amelia,,,,,,,,,,,
NA,1,Bjornstrom-Steffansson,Mauritz,Hakan,,,,,,,,,,
NA,0,Blackwell,Stephen,Weart,,,,,,,,,,
NA,1,Blank,Henry,,,,,,,,,,,
NA,1,Bonnell,Caroline,,,,,,,,,,,
NA,1,Bonnell,Elizabeth,,,,,,,,,,,
NA,0,Borebank,John,James,,,,,,,,,,
NA,1,Bowen,Grace,Scott,,,,,,,,,,
NA,1,Bowerman,Elsie,Edith,,,,,,,,,,
NA,1,Bradley,George,"(""George",Arthur,"Brayton"")",,,,,,,,
NA,0,Brady,John,Bertram,,,,,,,,,,
NA,0,Brandeis,Emil,,,,,,,,,,,
NA,0,Brewe,Arthur,Jackson,,,,,,,,,,
NA,1,Brown,James,Joseph,(Margaret,Tobin),,,,,,,,
NA,1,Brown,John,Murray,(Caroline,Lane,Lamson),,,,,,,
NA,1,Bucknell,William,Robert,(Emma,Eliza,Ward),,,,,,,
NA,1,Burns,Elizabeth,Margaret,,,,,,,,,,
NA,0,Butt,Archibald,Willingham,,,,,,,,,,
NA,0,Cairns,Alexander,,,,,,,,,,,
NA,1,Calderhead,Edward,Pennington,,,,,,,,,,
NA,1,Candee,Edward,(Helen,Churchill,Hungerford),,,,,,,,
NA,1,Cardeza,Thomas,Drake,Martinez,,,,,,,,,
NA,1,Cardeza,James,Warburton,Martinez,(Charlotte,Wardle,Drake),Drake),,,,,
NA,0,Carlsson,Frans,Olof,,,,,,,,,,
NA,0,Carrau,Francisco,M,,,,,,,,,,
NA,0,Carrau,Jose,Pedro,,,,,,,,,,
NA,1,Carter,William,Thornton,II,,,,,,,,,
NA,1,Carter,Lucile,Polk,,,,,,,,,,
NA,1,Carter,William,Ernest,,,,,,,,,,
NA,1,Carter,William,Ernest,(Lucile,Polk),,,,,,,,
NA,0,Case,Howard,Brown,,,,,,,,,,
NA,1,Cassebeer,Henry,Arthur,Jr,(Eleanor,Genevieve,Fosdick),Fosdick),,,,,
NA,0,Cavendish,Tyrell,William,,,,,,,,,,
NA,1,Cavendish,Tyrell,William,(Julia,Florence,Siegel),,,,,,,
NA,0,Chaffee,Herbert,Fuller,,,,,,,,,,
NA,1,Chaffee,Herbert,Fuller,(Carrie,Constance,Toogood),,,,,,,
NA,1,Chambers,Norman,Campbell,,,,,,,,,,
NA,1,Chambers,Norman,Campbell,(Bertha,Griggs),,,,,,,,
NA,1,Chaudanson,Victorine,,,,,,,,,,,
NA,1,Cherry,Gladys,,,,,,,,,,,
NA,1,Chevre,Paul,Romaine,,,,,,,,,,
NA,1,Chibnall,(Edith,Martha,Bowerman),,,,,,,,,
NA,0,Chisholm,Roderick,Robert,Crispin,,,,,,,,,
NA,0,Clark,Walter,Miller,,,,,,,,,,
NA,1,Clark,Walter,Miller,(Virginia,McDowell),,,,,,,,
NA,1,Cleaver,Alice,,,,,,,,,,,
NA,0,Clifford,George,Quincy,,,,,,,,,,
NA,0,Colley,Edward,Pomeroy,,,,,,,,,,
NA,1,Compton,Sara,Rebecca,,,,,,,,,,
NA,0,Compton,Alexander,Taylor,Jr,,,,,,,,,
NA,1,Compton,Alexander,Taylor,(Mary,Eliza,Ingersoll),,,,,,,
NA,1,Cornell,Robert,Clifford,(Malvina,Helen,Lamson),,,,,,,
NA,0,Crafton,John,Bertram,,,,,,,,,,
NA,0,Crosby,Edward,Gifford,,,,,,,,,,
NA,1,Crosby,Harriet,R,,,,,,,,,,
NA,1,Crosby,Edward,Gifford,(Catherine,Elizabeth,Halstead),,,,,,,
NA,0,Cumings,John,Bradley,,,,,,,,,,
NA,1,Cumings,John,Bradley,(Florence,Briggs,Thayer),,,,,,,
NA,1,Daly,Peter,Denis,,,,,,,,,,
NA,1,Daniel,Robert,Williams,,,,,,,,,,
NA,1,Daniels,Sarah,,,,,,,,,,,
NA,0,Davidson,Thornton,,,,,,,,,,,
NA,1,Davidson,Thornton,(Orian,Hays),,,,,,,,,
NA,1,Dick,Albert,Adrian,,,,,,,,,,
NA,1,Dick,Albert,Adrian,(Vera,Gillespie),,,,,,,,
NA,1,Dodge,Washington,,,,,,,,,,,
NA,1,Dodge,Washington,,,,,,,,,,,
NA,1,Dodge,Washington,(Ruth,Vidaver),,,,,,,,,
NA,0,Douglas,Walter,Donald,,,,,,,,,,
NA,1,Douglas,Frederick,Charles,(Mary,Helene,Baxter),,,,,,,
NA,1,Douglas,Walter,Donald,(Mahala,Dutton),,,,,,,,
NA,1,Duff,Lady.,(Lucille,Christiana,Sutherland),"(""Mrs","Morgan"")","Morgan"")",,,,,
NA,1,Duff,Sir.,Cosmo,Edmund,"(""Mr","Morgan"")",,,,,,,
NA,0,Dulles,William,Crothers,,,,,,,,,,
NA,1,Earnshaw,Boulton,(Olive,Potter),,,,,,,,,
NA,1,Endres,Caroline,Louise,,,,,,,,,,
NA,1,Eustis,Elizabeth,Mussey,,,,,,,,,,
NA,0,Evans,Edith,Corse,,,,,,,,,,
NA,0,Farthing,John,,,,,,,,,,,
NA,1,Flegenheim,Alfred,(Antoinette),,,,,,,,,,
NA,1,Fleming,Margaret,,,,,,,,,,,
NA,1,Flynn,John,Irwin,"(""Irving"")",,,,,,,,,
NA,0,Foreman,Benjamin,Laventall,,,,,,,,,,
NA,1,Fortune,Alice,Elizabeth,,,,,,,,,,
NA,1,Fortune,Ethel,Flora,,,,,,,,,,
NA,1,Fortune,Mabel,Helen,,,,,,,,,,
NA,0,Fortune,Charles,Alexander,,,,,,,,,,
NA,0,Fortune,Mark,,,,,,,,,,,
NA,1,Fortune,Mark,(Mary,McDougald),,,,,,,,,
NA,1,Francatelli,Laura,Mabel,,,,,,,,,,
NA,0,Franklin,Thomas,Parham,,,,,,,,,,
NA,1,Frauenthal,Henry,William,,,,,,,,,,
NA,1,Frauenthal,Isaac,Gerald,,,,,,,,,,
NA,1,Frauenthal,Henry,William,(Clara,Heinsheimer),,,,,,,,
NA,1,Frolicher,Hedwig,Margaritha,,,,,,,,,,
NA,1,Frolicher-Stehli,Maxmillian,,,,,,,,,,,
NA,1,Frolicher-Stehli,Maxmillian,(Margaretha,Emerentia,Stehli),,,,,,,,
NA,0,Fry,Richard,,,,,,,,,,,
NA,0,Futrelle,Jacques,Heath,,,,,,,,,,
NA,1,Futrelle,Jacques,Heath,(Lily,May,Peel),,,,,,,
NA,0,Gee,Arthur,H,,,,,,,,,,
NA,1,Geiger,Amalie,,,,,,,,,,,
NA,1,Gibson,Dorothy,Winifred,,,,,,,,,,
NA,1,Gibson,Leonard,(Pauline,C,Boeson),,,,,,,,
NA,0,Giglio,Victor,,,,,,,,,,,
NA,1,Goldenberg,Samuel,L,,,,,,,,,,
NA,1,Goldenberg,Samuel,L,(Edwiga,Grabowska),,,,,,,,
NA,0,Goldschmidt,George,B,,,,,,,,,,
NA,1,Gracie,Archibald,IV,,,,,,,,,,
NA,1,Graham,Margaret,Edith,,,,,,,,,,
NA,0,Graham,George,Edward,,,,,,,,,,
NA,1,Graham,William,Thompson,(Edith,Junkins),,,,,,,,
NA,1,Greenfield,William,Bertram,,,,,,,,,,
NA,1,Greenfield,Leo,David,(Blanche,Strouse),,,,,,,,
NA,0,Guggenheim,Benjamin,,,,,,,,,,,
NA,1,Harder,George,Achilles,,,,,,,,,,
NA,1,Harder,George,Achilles,(Dorothy,Annan),,,,,,,,
NA,1,Harper,Henry,Sleeper,,,,,,,,,,
NA,1,Harper,Henry,Sleeper,(Myna,Haxtun),,,,,,,,
NA,0,Harrington,Charles,H,,,,,,,,,,
NA,0,Harris,Henry,Birkhardt,,,,,,,,,,
NA,1,Harris,Henry,Birkhardt,(Irene,Wallach),,,,,,,,
NA,0,Harrison,William,,,,,,,,,,,
NA,1,Hassab,Hammad,,,,,,,,,,,
NA,1,Hawksford,Walter,James,,,,,,,,,,
NA,1,Hays,Margaret,Bechstein,,,,,,,,,,
NA,0,Hays,Charles,Melville,,,,,,,,,,
NA,1,Hays,Charles,Melville,(Clara,Jennings,Gregg),,,,,,,
NA,0,Head,Christopher,,,,,,,,,,,
NA,0,Hilliard,Herbert,Henry,,,,,,,,,,
NA,0,Hipkins,William,Edward,,,,,,,,,,
NA,1,Hippach,Jean,Gertrude,,,,,,,,,,
NA,1,Hippach,Louis,Albert,(Ida,Sophia,Fischer),,,,,,,
NA,1,Hogeboom,John,C,(Anna,Andrews),,,,,,,,
NA,0,Holverson,Alexander,Oskar,,,,,,,,,,
NA,1,Holverson,Alexander,Oskar,(Mary,Aline,Towner),,,,,,,
NA,1,Homer,Harry,"(""Mr",E,"Haven"")",,,,,,,,
NA,1,Hoyt,Frederick,Maxfield,,,,,,,,,,
NA,0,Hoyt,William,Fisher,,,,,,,,,,
NA,1,Hoyt,Frederick,Maxfield,(Jane,Anne,Forby),,,,,,,
NA,1,Icard,Amelie,,,,,,,,,,,
NA,0,Isham,Ann,Elizabeth,,,,,,,,,,
NA,1,Ismay,Joseph,Bruce,,,,,,,,,,
NA,0,Jones,Charles,Cresson,,,,,,,,,,
NA,0,Julian,Henry,Forbes,,,,,,,,,,
NA,0,Keeping,Edwin,,,,,,,,,,,
NA,0,Kent,Edward,Austin,,,,,,,,,,
NA,0,Kenyon,Frederick,R,,,,,,,,,,
NA,1,Kenyon,Frederick,R,(Marion),,,,,,,,,
NA,1,Kimball,Edwin,Nelson,Jr,,,,,,,,,
NA,1,Kimball,Edwin,Nelson,Jr,(Gertrude,Parsons),,,,,,,
NA,0,Klaber,Herman,,,,,,,,,,,
NA,1,Kreuchen,Emilie,,,,,,,,,,,
NA,1,Leader,Alice,(Farnham),,,,,,,,,,
NA,1,LeRoy,Bertha,,,,,,,,,,,
NA,1,Lesurer,Gustave,J,,,,,,,,,,
NA,0,Lewy,Ervin,G,,,,,,,,,,
NA,0,Lindeberg-Lind,Erik,Gustaf,"(""Mr",Edward,"Lingrey"")",,,,,,,
NA,1,Lindstrom,Carl,Johan,(Sigrid,Posse),,,,,,,,
NA,1,Lines,Mary,Conover,,,,,,,,,,
NA,1,Lines,Ernest,H,(Elizabeth,Lindsey,James),,,,,,,
NA,0,Long,Milton,Clyde,,,,,,,,,,
NA,1,Longley,Gretchen,Fiske,,,,,,,,,,
NA,0,Loring,Joseph,Holland,,,,,,,,,,
NA,1,Lurette,Elise,,,,,,,,,,,
NA,1,Madill,Georgette,Alexandra,,,,,,,,,,
NA,0,Maguire,John,Edward,,,,,,,,,,
NA,1,Maioni,Roberta,,,,,,,,,,,
NA,1,Marechal,Pierre,,,,,,,,,,,
NA,0,Marvin,Daniel,Warner,,,,,,,,,,
NA,1,Marvin,Daniel,Warner,(Mary,Graham,Carmichael,Farquarson),Farquarson),,,,,
NA,1,Mayne,Berthe,Antonine,"(""Mrs",de,"Villiers"")",,,,,,,
NA,0,McCaffry,Thomas,Francis,,,,,,,,,,
NA,0,McCarthy,Timothy,J,,,,,,,,,,
NA,1,McGough,James,Robert,,,,,,,,,,
NA,0,Meyer,Edgar,Joseph,,,,,,,,,,
NA,1,Meyer,Edgar,Joseph,(Leila,Saks),,,,,,,,
NA,0,Millet,Francis,Davis,,,,,,,,,,
NA,0,Minahan,William,Edward,,,,,,,,,,
NA,1,Minahan,Daisy,E,,,,,,,,,,
NA,1,Minahan,William,Edward,(Lillian,E,Thorpe),,,,,,,
NA,1,Mock,Philipp,Edmund,,,,,,,,,,
